module_name,modified_date,current_version,newest_version,links,notes,tag
Microsoft.Extensions.Hosting.Abstractions.dll,2024-10-07 19:46,,,,,
System.Net.ServicePoint.dll,2024-10-07 19:46,,,,,
System.Drawing.Primitives.dll,2024-10-07 19:46,,,,,
System.Resources.ResourceManager.dll,2024-10-07 19:46,,,,,
System.ServiceModel.Web.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.ObjectPool.dll,2024-10-07 19:46,,,,,
System.Security.dll,2024-10-07 19:46,,,,,
System.Security.Principal.dll,2024-10-07 19:46,,,,,
System.Net.Http.Json.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.WebEncoders.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Mvc.Formatters.Xml.dll,2024-10-07 19:46,,,,,
System.Net.HttpListener.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.FileSystemGlobbing.dll,2024-10-07 19:46,,,,,
System.CodeDom.dll,2019-11-15 08:33,,,,,
Microsoft.Extensions.Caching.Abstractions.dll,2024-10-07 19:46,,,,,
System.Xml.XPath.XDocument.dll,2024-10-07 19:46,,,,,
System.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Authentication.Core.dll,2024-10-07 19:46,,,,,
System.Diagnostics.TraceSource.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.FileProviders.Physical.dll,2024-10-07 19:46,,,,,
System.Runtime.CompilerServices.VisualC.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Configuration.FileExtensions.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.FileProviders.Embedded.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Authentication.Cookies.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.HttpOverrides.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.DependencyInjection.Abstractions.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Identity.dll,2024-10-07 19:46,,,,,
System.Runtime.Loader.dll,2024-10-07 19:46,,,,,
System.Reflection.DispatchProxy.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Logging.TraceSource.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Configuration.Ini.dll,2024-10-07 19:46,,,,,
System.Xml.XmlDocument.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Authentication.OAuth.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Hosting.Server.Abstractions.dll,2024-10-07 19:46,,,,,
System.Diagnostics.Contracts.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.SignalR.dll,2024-10-07 19:46,,,,,
System.Text.Encoding.CodePages.dll,2024-10-07 19:46,,,,,
System.ComponentModel.Annotations.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Server.HttpSys.dll,2024-10-07 19:46,,,,,
System.Reflection.dll,2024-10-07 19:46,,,,,
System.Threading.Tasks.dll,2024-10-07 19:46,,,,,
System.Linq.Async.dll,2022-02-01 15:33,,,,,
netstandard.dll,2024-10-07 19:46,,,,,
System.Memory.dll,2024-10-07 19:46,,,,,
WindowsBase.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.DependencyInjection.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Configuration.EnvironmentVariables.dll,2024-10-07 19:46,,,,,
System.IO.Compression.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Server.IISIntegration.dll,2024-10-07 19:46,,,,,
System.Collections.Specialized.dll,2024-10-07 19:46,,,,,
System.Transactions.dll,2024-10-07 19:46,,,,,
System.IO.FileSystem.Watcher.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Components.Server.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Authentication.Abstractions.dll,2024-10-07 19:46,,,,,
System.IO.FileSystem.AccessControl.dll,2024-10-07 19:46,,,,,
System.Security.Claims.dll,2024-10-07 19:46,,,,,
System.Threading.Timer.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Localization.dll,2024-10-07 19:46,,,,,
System.Text.Json.dll,2024-10-07 19:46,,,,,
System.Security.Cryptography.Algorithms.dll,2024-10-07 19:46,,,,,
System.ServiceProcess.dll,2024-10-07 19:46,,,,,
System.Diagnostics.FileVersionInfo.dll,2024-10-07 19:46,,,,,
System.Net.WebClient.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Configuration.dll,2024-10-07 19:46,,,,,
System.Collections.Immutable.dll,2024-10-07 19:46,,,,,
System.IO.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Caching.Memory.dll,2024-10-07 19:46,,,,,
System.Drawing.dll,2024-10-07 19:46,,,,,
System.Threading.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Localization.Abstractions.dll,2024-10-07 19:46,,,,,
System.Collections.Concurrent.dll,2024-10-07 19:46,,,,,
System.Security.Cryptography.Xml.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Authentication.dll,2024-10-07 19:46,,,,,
System.Security.AccessControl.dll,2024-10-07 19:46,,,,,
System.IO.Compression.Brotli.dll,2024-10-07 19:46,,,,,
System.Runtime.Serialization.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Identity.Stores.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.SignalR.Core.dll,2024-10-07 19:46,,,,,
System.IO.Compression.ZipFile.dll,2024-10-07 19:46,,,,,
System.ComponentModel.TypeConverter.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Razor.dll,2024-10-07 19:46,,,,,
System.Text.Encoding.Extensions.dll,2024-10-07 19:46,,,,,
System.Data.DataSetExtensions.dll,2024-10-07 19:46,,,,,
System.Net.WebHeaderCollection.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Http.Results.dll,2024-10-07 19:46,,,,,
System.Security.Cryptography.Encoding.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Configuration.Json.dll,2024-10-07 19:46,,,,,
System.Threading.Channels.dll,2024-10-07 19:46,,,,,
System.ComponentModel.DataAnnotations.dll,2024-10-07 19:46,,,,,
Microsoft.Data.SqlClient.dll,2024-01-05 08:10,,,,,
System.Diagnostics.DiagnosticSource.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Razor.Runtime.dll,2024-10-07 19:46,,,,,
System.Runtime.Handles.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.DataProtection.Extensions.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.DataProtection.Abstractions.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Configuration.UserSecrets.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Routing.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Diagnostics.dll,2024-10-07 19:46,,,,,
